genres,app_name,item_id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,sin dato,release_date
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,761140,Kotoshiro,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2018
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,643980,Secret Level SRL,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2018
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,670290,Poolians.com,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2017
"['Action', 'Adventure', 'Casual']",弹炸人2222,767400,彼岸领域,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,772540,Trickjump Games Ltd,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,774276,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,774277,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,774278,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2018
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,768800,RewindApp,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2018
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,Stegalosaurus Game Development,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2018
"['Casual', 'Indie']",Beach Rules,768880,Copperpick Studio,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,765320,Ghulam Jewel,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,773650,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,774271,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,773690,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,774279,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2018
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,768060,Tero Lunkka,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2017
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2017
"['Action', 'Indie']",DinoBlaster,653960,Casey Labrack,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
sin dato,Robotpencil Presents: Understanding 3D for Concept,777910,sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,282010,Stainless Games Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1997
['Action'],Half-Life,70,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
"['Action', 'Indie', 'RPG']",Fallen Mage,752360,dev4play,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2016
"['Casual', 'Indie', 'Strategy']",Lost Cities,520680,BlueLine Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2018
['Action'],Twisted Enhanced Edition,690410,Games by Brundle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,766850,ETGgames,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2018
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,413120,ProjectorGames,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2018
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,773120,Unknown Indie Devs,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,754360,The Commander,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2018
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,716110,"lalalaZero,Urbanoff",0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2018
['Strategy'],Disciples II: Gallean's Return,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['Strategy'],Disciples II: Rise of the Elves,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2400,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2006
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,381620,Breakout Studio,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2017
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,759920,Ultraint,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,659780,Seth Albertus,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2018
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,603280,TPM.CO SOFT WORKS,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2017
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,753110,Wonderbox Games,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017
"['Action', 'Indie']",Orbitality,753100,Wonderbox Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,764280,Mad Unicorn Games,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,758550,Emanon Studios,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017
['Action'],Advent Rising,3800,GlyphX Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"['Indie', 'Strategy']",DEFCON,1520,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2006
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2420,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2006
"['Indie', 'Simulation']",Garry's Mod,4000,Facepunch Studios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2006
['Racing'],RACE - The WTCC Game,4230,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
"['Casual', 'Indie']",Zen of Sudoku,4900,Unknown Worlds Entertainment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2520,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
['Strategy'],Ghost Master®,6200,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2003
['Strategy'],Vegas: Make It Big™,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,6300,Funcom,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006
['Racing'],FlatOut 2™,2990,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
['Racing'],FlatOut,6220,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2005
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,6510,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Strategy'],CivCity: Rome,3980,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['RPG'],Arx Fatalis,1700,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2002
